user_id,book_id,is_read,rating,is_reviewed
173,20170296-neil-patrick-harris,1,3,0
30,149785.The_Way_We_Live_Now,1,2,1
177,3086160-the-hour-i-first-believed,1,2,0
213,34051011-pachinko,1,4,0
142,3.Harry_Potter_and_the_Sorcerer_s_Stone,1,3,0
99,2657.To_Kill_a_Mockingbird,1,3,1
109,370493.The_Giving_Tree,1,5,0
30,391729.The_Tell_Tale_Heart_and_Other_Writings,1,4,1
0,49552.The_Stranger,1,4,1
4,23766634-a-court-of-wings-and-ruin,1,2,0
150,19288043-gone-girl,1,4,1
5,28862.The_Prince,1,4,0
29,24300.Poppy,1,3,0
65,71865.Tomorrow_When_the_War_Began,1,4,0
86,13571757-1,1,4,0
20,6588.The_Big_Bad_Wolf,1,3,0
161,13580951-united-we-spy,1,3,0
220,77392.Anne_of_the_Island,1,3,0
70,9969571-ready-player-one,1,4,0
187,395233.The_Letters_of_Vincent_van_Gogh,1,4,0
172,1842.Guns_Germs_and_Steel,1,4,0
83,2429135.The_Girl_with_the_Dragon_Tattoo,1,2,0
82,93959.Hirohito_and_the_Making_of_Modern_Japan,1,5,0
162,10518110-the-bite-before-christmas,1,5,0
131,2767052-the-hunger-games,1,3,0
97,4618801-the-poison-throne,1,4,0
169,896622.The_Wolf_and_the_Dove,1,5,0
225,2767052-the-hunger-games,1,4,0
142,395871.The_Awakening_The_Struggle,1,4,1
59,31685789-room,1,4,0
147,33574273-a-wrinkle-in-time,1,5,0
16,249205.Jules_et_Jim,1,4,0
26,28413.The_Ladies_Paradise,1,4,0
77,8535273-the-dark-and-hollow-places,1,4,0
226,29868610-scrappy-little-nobody,1,4,0
205,17910054-the-sixth-extinction,1,3,0
226,18335634-clockwork-princess,1,3,1
129,7144.Crime_and_Punishment,1,4,0
151,12444297-burned,1,5,1
20,291112.The_Pursuit_of_Happiness,1,4,0
30,25664510-the-heart,1,3,0
66,2203.John_Adams,1,4,0
164,63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales,1,5,1
195,31434883-eleanor-oliphant-is-completely-fine,1,4,0
138,1301.Moneyball,1,4,0
109,38447.The_Handmaid_s_Tale,1,5,0
94,41684.The_Jungle_Books,1,5,0
169,119322.The_Golden_Compass,1,5,0
157,7624.Lord_of_the_Flies,1,5,1
58,9460487-miss-peregrine-s-home-for-peculiar-children,1,5,0
195,565956.Karen,1,4,1
91,52722079-the-pull-of-the-stars,1,2,1
145,19117.Fathers_and_Sons,1,2,1
186,9853855-o-roteiro-inesperado-de-fani,1,5,1
69,17678661-the-earth-dwellers,1,5,0
18,30008834-a-perilous-undertaking,1,5,0
91,25370574-as-you-wish,1,3,0
117,18505796-10-happier,1,4,1
50,3950967-the-tales-of-beedle-the-bard,1,5,0
161,239102.Starless_Night,1,3,0
20,91475.White_Night,1,2,0
214,2657.To_Kill_a_Mockingbird,1,5,0
9,231.I_am_Charlotte_Simmons,1,4,0
97,255799.Beautiful_Girlhood,1,3,0
225,41057294-normal-people,1,3,0
160,30241.Bloody_Bones,1,5,1
36,85861.Stars_in_My_Pocket_Like_Grains_of_Sand,1,4,0
31,37301.Rules_of_Prey,1,4,0
205,5350.The_Partner,1,5,0
211,133518.The_Things_They_Carried,1,2,0
120,3590.The_Adventures_of_Sherlock_Holmes,1,3,0
103,6350972-tote-m-dchen-l-gen-nicht,1,3,0
65,38500.Women,1,4,0
81,2932.Robinson_Crusoe,1,4,0
14,6732019-rework,1,5,1
30,1241.A_Million_Little_Pieces,1,5,0
161,34912895-the-great-alone,1,3,0
67,2429135.The_Girl_with_the_Dragon_Tattoo,1,4,0
18,971854.Marine_Sniper,1,4,1
55,16090981-thief,1,4,0
79,5297.The_Picture_of_Dorian_Gray,1,3,0
14,40097951-the-silent-patient,1,5,1
84,128029.A_Thousand_Splendid_Suns,1,3,1
153,44652.Fablehaven,1,5,0
65,20309175-my-true-love-gave-to-me,1,3,0
78,6.Harry_Potter_and_the_Goblet_of_Fire,1,3,0
135,37903770-norse-mythology,1,3,0
87,162089.Flawless,1,4,0
0,40389527-the-woman-in-the-window,1,5,0
13,33124137-pet-sematary,1,5,0
200,2429135.The_Girl_with_the_Dragon_Tattoo,1,5,1
85,18405.Gone_with_the_Wind,1,5,0
91,128029.A_Thousand_Splendid_Suns,1,3,0
132,41865.Twilight,1,4,0
28,2623.Great_Expectations,1,3,0
199,228665.The_Eye_of_the_World,1,4,0
5,4979.A_Man_Without_a_Country,1,4,0
111,78129.Killing_Floor,1,4,0
5,16101128-the-5th-wave,1,4,0
175,1.Harry_Potter_and_the_Half_Blood_Prince,1,3,0
72,18528454-a-beautiful-wedding,1,5,0
34,64960.The_Face_of_Fear,1,2,1
13,6071069-earthcore,1,4,0
210,24529123-this-is-where-it-ends,1,3,0
197,43641.Water_for_Elephants,1,4,0
157,8966.Allies_of_the_Night,1,4,1
142,38447.The_Handmaid_s_Tale,1,5,1
211,46787.Uncle_Tom_s_Cabin,1,3,0
132,22466429-kids-of-appetite,1,5,0
100,13538873-mr-penumbra-s-24-hour-bookstore,1,5,0
224,125925.Industrial_Magic,1,3,1
14,210250.Foundling,1,5,1
90,38709.Holes,1,2,0
67,43805.Servant_of_the_Bones,1,3,0
219,32283133-origin,1,4,0
24,6148028-catching-fire,1,4,0
39,19501.Eat_Pray_Love,1,5,0
135,12232938-the-lovely-bones,1,5,0
68,7453869-los-de-abajo,1,3,1
142,28187.The_Lightning_Thief,1,5,1
169,6033257-desire-untamed,1,4,0
161,2657.To_Kill_a_Mockingbird,1,3,0
11,9416.Confessions_of_a_Shopaholic,1,3,0
214,12971664-no-safety-in-numbers,1,4,0
67,41865.Twilight,1,3,0
31,565149.Illuminations,1,4,0
86,19288043-gone-girl,1,4,0
185,11387515-wonder,1,2,0
181,2.Harry_Potter_and_the_Order_of_the_Phoenix,1,4,0
227,6531.Point_of_Origin,1,3,0
